Title,Address,State,Zipcode,PhoneNumber,Description
Matanuska-Susitna (Mat-Su-Public Health Center),"3223 E Palmer Wasilla Hwy Ste 3, Wasilla, AK 99654",AK,99654,(907) 352-6600,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Mountainside Family Clinic,"209 Moller Avenue, Sitka, AK 99835",AK,99835,(907) 747-1722,For patients only. Testing is becoming increasingly available for patients who are sick with fever and a cough. They are not available for patients who are not sick. Contact your healthcare provider for advice if you are experiencing symptoms. Call ahead to alert staff of your COVID-19 concerns and request a mask be brought out to you prior to entering to reduce the risk of exposure.
Mountainside Urgent Care,"814 Halibut Point Rd, Sitka, AK 99835",AK,99835,(907) 966-9777,"Testing is available for all, even those who are not sick. Contact your healthcare provider for advice if you are experiencing symptoms. Call ahead to alert staff of your COVID-19 concerns and request a mask be brought out to you prior to entering to reduce the risk of exposure."
Nome Public Health Center,"607 Division St, Nome, AK 99762",AK,99762,(907) 443-3221,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Petersburg Public Health Center,"103 Fram Street, Petersburg, AK 99833",AK,99833,(907) 772-4611,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Providence Alaska Medical Center,"3200 Providence Drive, Anchorage, AK 99508",AK,99508,(907) 562-2211,"You can use the online assesment tool: https://coronavirus.providence.org/ak-updates , click the tool icon to begin the assesment. Or get a referal from PCP Those who fall in these categories and have mild symptoms should contact their health care provider by phone to discuss the need for testing."
Providence Seward Medical Center,"417 1st Avenue, Seward, AK 99664",AK,99664,(907) 224-5205,"You can use the online assesment tool: https://coronavirus.providence.org/ak-updates , click the tool icon to begin the assesment. Or get a referal from PCP Those who fall in these categories and have mild symptoms should contact their health care provider by phone to discuss the need for testing."
Sitka Public Helath Center,"210 Moller Ave, Sitka, AK 99835",AK,99835,(907) 747-3255,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Steese Immediate Care,"1275 Sadler Way, Fairbanks, AK 99701",AK,99701,(907) 374-7911,Call to be screened
Tanana Valley Clinic,"1001 Noble S, Fairbanks, AK 99701",AK,99701,(907) 459-3500,drive thru - have to be refer by PCP call for screening - COVID-19 HOTLINE 907-458-2888
Thorne Bay Health Center,"120 Freeman, Thorne Bay, AK 99919",AK,99919,(877) 755-4800,For patients only. Testing is becoming increasingly available for patients who are sick with fever and a cough. They are not available for patients who are not sick. Contact your healthcare provider for advice if you are experiencing symptoms. Call ahead to alert staff of your COVID-19 concerns and request a mask be brought out to you prior to entering to reduce the risk of exposure.
Tok Public Health Center,"1314 Alaska Highway, Tok, AK 99780",AK,99780,(907) 883-4101,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Valdez Public Health Center,"1001 Meals Ave, Valdez, AK 99686",AK,99686,(907) 835-4612,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Yukon-Kuskokwim Health Corporation - Aniak,"1 Morgan Rd., Aniak, AK 99557",AK,99557,(907) 675-4346,Individuals with the following criteria may be tested through Alaska State Public Health Lab: Symptoms must include two of the following: Cough Subjective fever Shortness of breath AND Belong to one of the following groups: Hospitalized patient with respiratory condition Lives in long term care facility or any health care facility providing treatment in congregate setting Symptomatic health care provider or first responder Symptomatic patients who have traveled to or have a household member who has traveled to a location where community transmission of COVID-19 is occurring Known close contact to a confirmed case of COVID- 19
Yukon-Kuskokwim Health Corporation - Emmonak,N/A,N/A,N/A,Report an error,Individuals with the following criteria may be tested through Alaska State Public Health Lab: Symptoms must include two of the following: Cough Subjective fever Shortness of breath AND Belong to one of the following groups: Hospitalized patient with respiratory condition Lives in long term care facility or any health care facility providing treatment in congregate setting Symptomatic health care provider or first responder Symptomatic patients who have traveled to or have a household member who has traveled to a location where community transmission of COVID-19 is occurring Known close contact to a confirmed case of COVID- 19
Yukon-Kuskokwim Health Corporation - Hooper Bay,N/A,N/A,N/A,Report an error,Individuals with the following criteria may be tested through Alaska State Public Health Lab: Symptoms must include two of the following: Cough Subjective fever Shortness of breath AND Belong to one of the following groups: Hospitalized patient with respiratory condition Lives in long term care facility or any health care facility providing treatment in congregate setting Symptomatic health care provider or first responder Symptomatic patients who have traveled to or have a household member who has traveled to a location where community transmission of COVID-19 is occurring Known close contact to a confirmed case of COVID- 19
Yukon-Kuskokwim Health Corporation - St. Mary's,N/A,N/A,N/A,Report an error,Individuals with the following criteria may be tested through Alaska State Public Health Lab: Symptoms must include two of the following: Cough Subjective fever Shortness of breath AND Belong to one of the following groups: Hospitalized patient with respiratory condition Lives in long term care facility or any health care facility providing treatment in congregate setting Symptomatic health care provider or first responder Symptomatic patients who have traveled to or have a household member who has traveled to a location where community transmission of COVID-19 is occurring Known close contact to a confirmed case of COVID- 19
Yukon-Kuskokwim Health Corporation - Toksook Bay,N/A,N/A,N/A,Report an error,Individuals with the following criteria may be tested through Alaska State Public Health Lab: Symptoms must include two of the following: Cough Subjective fever Shortness of breath AND Belong to one of the following groups: Hospitalized patient with respiratory condition Lives in long term care facility or any health care facility providing treatment in congregate setting Symptomatic health care provider or first responder Symptomatic patients who have traveled to or have a household member who has traveled to a location where community transmission of COVID-19 is occurring Known close contact to a confirmed case of COVID- 19
Abrazo Arizona Heart Hospital,"1930 E Thomas Rd, Phoenix, AZ 85016",AZ,85016,(602) 532-1000,Call the facility ahead of time. Most testing sites require a referral from a provider.
Abrazo Arrowhead Campus,"18701 N 67th Ave, Glendale, AZ 85308",AZ,85308,(623) 561-1000,Call the facility ahead of time. Most testing sites require a referral from a provider.
Abrazo Peoria Emergency Center,"26900 N Lake Pleasant Pkwy, Peoria, AZ 85383",AZ,85383,(623) 561-2022,Call the facility ahead of time. Most testing sites require a referral from a provider.
Abrazo Scottsdale Campus,"3929 E Bell Rd, Phoenix, AZ 85032",AZ,85032,(877) 934-9355,Call the facility ahead of time. Most testing sites require a referral from a provider.
Arizona State Public Health Laboratory (ASPHL),"150 North 18th Avenue, Phoenix, AZ 85007",AZ,85007,(602) 542-1025,A doctor referral is required. Schedule an appointment to be tested. Hours of operation are Mon-Fri 8 AM - 5 PM.
Banner Estrella Medical Center,"9201 W Thomas Rd, Phoenix, AZ 85037",AZ,85037,(623) 327-4000,Call the facility ahead of time. Most testing sites require a referral from a provider.
"Banner Health, Tucson","1625 N Campbell Ave, Tucson, AZ 85719",AZ,85719,(844) 549-1851,"If clinical team member determines you meet the criteria for testing, you will be scheduled for an appointment at one of the drive-through sites. Bring health insurance ID card if you have one. The process will take 5-20 min. Banner Health receives an unknown number of testing kits from the Health Department late at night daily, so please make sure to call ahead for a phone screening and appointment. Must have symptoms AND one of the following criteria: High-risk worker, Critical infrastructure personnel, living in a congregate setting, over 65 years old, or immunocompromised. Traveled by mass transit within the last 14 days."
Cardon Children's Medical Center At Banner Desert Medical Center,"1400 S Dobson Rd, Mesa, AZ 85202",AZ,85202,(480) 412-5437,Call the facility ahead of time. Most testing sites require a referral from a provider.
Carondelet St. Mary's Hospital,"1601 W. St. Mary's Road, Tucson, AZ 85745",AZ,85745,(520) 872-3000,"Take the COVID-19 Health Assessment Tool located on this site: https://www.carondelet.org/our-response-to-covid-19. Based on your responses, Carondelet will recommend a proposed next step to help you take care of yourself and your loved ones. For those who qualify, the Health Assessment Tool will provide a referral to an online care visit with a healthcare provider. Patients may also be screened onsite, and depending on their results, will then be referred to a testing site."
Chandler Regional Medical Center,"1955 W Frye Rd, Chandler, AZ 85224",AZ,85224,(480) 728-3000,Call the facility ahead of time. Most testing sites require a referral from a provider.
"Coconino County, Arizona Health & Human Services","2446 Fort Tuthill Loop , Flagstaff, AZ 86004",AZ,86004,(928) 679-7300,"You must have a medical order from your physician, be a first responder, or have been exposed to someone who tested positive with coronavirus. The site is a drive-thru. House of operation are Sun-Thu: 10 AM - 3 PM"
"Coconino County, Fourth St","3000 N, Fourth Street, Flagstaff, AZ 86004",AZ,86004,(928) 679-7300,The County has established a COVID-19 Information Line at (928) 679-7300 from 8 AM - 9 PM daily for people who have questions. You may also email questions to: COVID19Information@coconino.az.gov.
